Fecha;Fondo;n;Peso;Var_porc;Actualizacion;porc_1_5;porc_2_5
21/6/2023;TECNOLOGICO;41;98.74;-0.118577916;;
21/6/2023;ZVIX;2;10;0.113636364;;
21/6/2023;ZVSTOXX;6;30;0.173026166;;
21/6/2023;ZVXN;2;10;0.119232763;;
22/6/2023;ALPHA;27;81.72;-0.764389853;;
22/6/2023;BESTIDEAS;31;78.76;-0.08786815;;
22/6/2023;BOLSAESPANA;32;99.21;-0.610518711;;
22/6/2023;BOLSAEUROPA;57;88.86;-0.151135935;;
22/6/2023;BOLSAINTERNACIONAL;55;89.93;0.154221638;;
22/6/2023;BOLSAUSA;64;91.67;0.190371425;;
22/6/2023;DIVIDENDO;43;91.96;-0.532869173;;
22/6/2023;FINANCIERO;38;86.64;-0.946690156;;
22/6/2023;GLOBAL;44;87.82;0.195351789;;
22/6/2023;JAPON;54;89.59;-0.879894296;;
22/6/2023;MEGATRENDS;41;96.67;-0.011290232;;
22/6/2023;NEWENERGY;42;93.59;-0.512576468;;
22/6/2023;SANIDAD;53;93.8;0.507165444;;
22/6/2023;SECTORINMOBILIARIO;43;97.74;-0.895906614;;
22/6/2023;SMALLCAPS;51;88.3;-0.370566934;;
22/6/2023;TECNOLOGICO;41;98.74;0.155853847;;
22/6/2023;ZVIX;2;10;-0.045454545;;
22/6/2023;ZVSTOXX;6;30;-0.182792725;;
22/6/2023;ZVXN;2;10;-0.041472265;;
23/6/2023;ALPHA;20;59.96;0.262638279;;
23/6/2023;BESTIDEAS;14;39.51;-0.133247546;;
23/6/2023;BOLSAESPANA;32;99.21;0.404569958;;
23/6/2023;BOLSAEUROPA;57;88.86;0.330272454;;
23/6/2023;BOLSAINTERNACIONAL;22;33.78;0.114366224;;
23/6/2023;BOLSAUSA;1;0;0;;
23/6/2023;DIVIDENDO;33;69.24;-0.024023256;;
23/6/2023;FINANCIERO;20;42.99;0.221176513;;
23/6/2023;GLOBAL;16;30.91;0.17400352;;
23/6/2023;JAPON;54;89.59;0.450721181;;
23/6/2023;MEGATRENDS;16;36.62;-0.073949176;;
23/6/2023;NEWENERGY;29;67.56;0.019564871;;
23/6/2023;SANIDAD;18;33.81;-0.176244343;;
23/6/2023;SECTORINMOBILIARIO;26;58.53;-0.202747228;;
23/6/2023;SMALLCAPS;51;88.3;0.091279607;;
23/6/2023;TECNOLOGICO;11;19.62;0.086175402;;
23/6/2023;ZVIX;1;0;0;;
23/6/2023;ZVSTOXX;3;0;0;;
23/6/2023;ZVXN;1;0;0;;
26/6/2023;ALPHA;20;59.96;0.262638279;;
26/6/2023;BESTIDEAS;14;39.51;-0.133247546;;
26/6/2023;BOLSAESPANA;32;99.21;0.404569958;;
26/6/2023;BOLSAEUROPA;57;88.86;0.330272454;;
26/6/2023;BOLSAINTERNACIONAL;22;33.78;0.114366224;;
26/6/2023;BOLSAUSA;1;0;0;;
26/6/2023;DIVIDENDO;33;69.24;-0.024023256;;
26/6/2023;FINANCIERO;20;42.99;0.221176513;;
26/6/2023;GLOBAL;16;30.91;0.17400352;;
26/6/2023;JAPON;54;89.59;0.450721181;;
26/6/2023;MEGATRENDS;16;36.62;-0.073949176;;
26/6/2023;NEWENERGY;29;67.56;0.019564871;;
26/6/2023;SANIDAD;18;33.81;-0.176244343;;
26/6/2023;SECTORINMOBILIARIO;26;58.53;-0.202747228;;
26/6/2023;SMALLCAPS;51;88.3;0.091279607;;
26/6/2023;TECNOLOGICO;11;19.62;0.086175402;;
26/6/2023;ZVIX;1;0;0;;
26/6/2023;ZVSTOXX;3;0;0;;
26/6/2023;ZVXN;1;0;0;;
27/6/2023;ALPHA;20;59.96;0.262638279;;
27/6/2023;BESTIDEAS;14;39.51;-0.133247546;;
27/6/2023;BOLSAESPANA;32;99.21;0.404569958;;
27/6/2023;BOLSAEUROPA;57;88.86;0.330272454;;
27/6/2023;BOLSAINTERNACIONAL;22;33.78;0.114366224;;
27/6/2023;BOLSAUSA;1;0;0;;
27/6/2023;DIVIDENDO;33;69.24;-0.024023256;;
27/6/2023;FINANCIERO;20;42.99;0.221176513;;
27/6/2023;GLOBAL;16;30.91;0.17400352;;
27/6/2023;JAPON;54;89.59;0.450721181;;
27/6/2023;MEGATRENDS;16;36.62;-0.073949176;;
27/6/2023;NEWENERGY;29;67.56;0.019564871;;
27/6/2023;SANIDAD;18;33.81;-0.176244343;;
27/6/2023;SECTORINMOBILIARIO;26;58.53;-0.202747228;;
27/6/2023;SMALLCAPS;51;88.3;0.091279607;;
27/6/2023;TECNOLOGICO;11;19.62;0.086175402;;
27/6/2023;ZVIX;1;0;0;;
27/6/2023;ZVSTOXX;3;0;0;;
27/6/2023;ZVXN;1;0;0;;
28/6/2023;ALPHA;20;59.96;0.262638279;;
28/6/2023;BESTIDEAS;14;39.51;-0.133247546;;
28/6/2023;BOLSAESPANA;32;99.21;0.404569958;;
28/6/2023;BOLSAEUROPA;57;88.86;0.330272454;;
28/6/2023;BOLSAINTERNACIONAL;22;33.78;0.114366224;;
28/6/2023;BOLSAUSA;1;0;0;;
28/6/2023;DIVIDENDO;33;69.24;-0.024023256;;
28/6/2023;FINANCIERO;20;42.99;0.221176513;;
28/6/2023;GLOBAL;16;30.91;0.17400352;;
28/6/2023;JAPON;54;89.59;0.450721181;;
28/6/2023;MEGATRENDS;16;36.62;-0.073949176;;
28/6/2023;NEWENERGY;29;67.56;0.019564871;;
28/6/2023;SANIDAD;18;33.81;-0.176244343;;
28/6/2023;SECTORINMOBILIARIO;26;58.53;-0.202747228;;
28/6/2023;SMALLCAPS;51;88.3;0.091279607;;
28/6/2023;TECNOLOGICO;11;19.62;0.086175402;;
28/6/2023;ZVIX;1;0;0;;
28/6/2023;ZVSTOXX;3;0;0;;
28/6/2023;ZVXN;1;0;0;;
29/6/2023;ALPHA;27;81.72;0.266169194;;
29/6/2023;BESTIDEAS;31;78.76;-0.035145208;;
29/6/2023;BOLSAESPANA;32;99.21;0.389645967;;
29/6/2023;BOLSAEUROPA;57;88.86;0.048635652;;
